Model,Checkpoint,Task,Metric,Run 1,Run 2,Run 3,Average,Task_family,Percentage,olmo-params,Flops
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,bbh_adv_OLMo-2-1124-13B-17pct,"exact_match,get-answer",0.0030364372469635,0.0030364372469635,0.0030364372469635,0.0030364372469635,bbh_adv,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,cruxeval_i_adv_OLMo-2-1124-13B-17pct,"pass@1,create_test",0.0,0.0,0.0,0.0,cruxeval_i_adv,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,cruxeval_o_adv_OLMo-2-1124-13B-17pct,"pass@1,create_test",0.0031948881789137,0.0031948881789137,0.0031948881789137,0.0031948881789137,cruxeval_o_adv,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,gsm8k-platinum_adv_OLMo-2-1124-13B-17pct,"exact_match,flexible-extract",0.0188679245283018,0.0094339622641509,0.0188679245283018,0.0157232704402515,gsm8k-platinum_adv,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,gsm8k_adv_OLMo-2-1124-13B-17pct,"exact_match,flexible-extract",0.0155038759689922,0.0077519379844961,0.0077519379844961,0.0103359173126615,gsm8k_adv,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,triviaqa_adv_OLMo-2-1124-13B-17pct,"exact_match,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,triviaqa_adv_OLMo-2-1124-13B-17pct,"answer_exists,none",0.0120481927710843,0.0120481927710843,0.0120481927710843,0.0120481927710843,triviaqa_adv,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,bbh_adv_OLMo-2-1124-13B-20pct,"exact_match,get-answer",0.0121457489878542,0.0121457489878542,0.0131578947368421,0.0124831309041835,bbh_adv,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,cruxeval_i_adv_OLMo-2-1124-13B-20pct,"pass@1,create_test",0.0115384615384615,0.0115384615384615,0.0115384615384615,0.0115384615384615,cruxeval_i_adv,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,cruxeval_o_adv_OLMo-2-1124-13B-20pct,"pass@1,create_test",0.0063897763578274,0.0063897763578274,0.0063897763578274,0.0063897763578274,cruxeval_o_adv,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,gsm8k-platinum_adv_OLMo-2-1124-13B-20pct,"exact_match,flexible-extract",0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,gsm8k-platinum_adv,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,gsm8k_adv_OLMo-2-1124-13B-20pct,"exact_match,flexible-extract",0.0077519379844961,0.0077519379844961,0.0077519379844961,0.0077519379844961,gsm8k_adv,0.2,13,4.356708826689592
